GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Quintile Share of Aggregate Income: - Lowest Quintile,Margin of Error; Quintile Share of Aggregate Income: - Lowest Quintile,Estimate; Quintile Share of Aggregate Income: - Second Quintile,Margin of Error; Quintile Share of Aggregate Income: - Second Quintile,Estimate; Quintile Share of Aggregate Income: - Third Quintile,Margin of Error; Quintile Share of Aggregate Income: - Third Quintile,Estimate; Quintile Share of Aggregate Income: - Fourth Quintile,Margin of Error; Quintile Share of Aggregate Income: - Fourth Quintile,Estimate; Quintile Share of Aggregate Income: - Highest Quintile,Margin of Error; Quintile Share of Aggregate Income: - Highest Quintile,Estimate; Top 5 Percent,Margin of Error; Top 5 Percent
1400000US48453001853,48453001853,"Census Tract 18.53, Travis County, Texas",5.39,1.46,12.42,1.75,18.28,1.48,23.06,1.47,40.84,3.97,15.13,2.8
1400000US48453001854,48453001854,"Census Tract 18.54, Travis County, Texas",4.25,1.35,9.45,1.35,16.83,2.18,25.11,1.69,44.35,4.14,17.57,2.95
1400000US48453001855,48453001855,"Census Tract 18.55, Travis County, Texas",6.49,1.06,12.17,1.05,17.18,1.46,22.48,1.4,41.68,3.38,16.45,1.95
1400000US48453001856,48453001856,"Census Tract 18.56, Travis County, Texas",6.16,0.96,12.38,1.38,17.46,1.47,23.72,1.49,40.28,3.91,14.8,3.75
1400000US48453001857,48453001857,"Census Tract 18.57, Travis County, Texas",5.7,1.31,12.23,1.84,17.44,1.08,24.19,1.73,40.44,3.64,14.67,3.34
1400000US48453001858,48453001858,"Census Tract 18.58, Travis County, Texas",6.91,1.13,12.34,1.45,17.05,1.81,21.36,2.21,42.34,5.94,19.48,7.2
1400000US48453001859,48453001859,"Census Tract 18.59, Travis County, Texas",3.94,1.91,12.03,2.3,19.73,1.42,25.9,1.75,38.4,3.08,13.41,1.96
1400000US48453001860,48453001860,"Census Tract 18.60, Travis County, Texas",6.07,1.08,11.63,1.45,16.93,1.92,23.47,1.93,41.89,4.2,15.34,4.12
1400000US48453001861,48453001861,"Census Tract 18.61, Travis County, Texas",5.25,1.66,12.57,1.51,18.87,1.19,25.3,1.51,38.01,3.52,13.17,3.11
1400000US48453001862,48453001862,"Census Tract 18.62, Travis County, Texas",4.92,0.96,9.87,1.25,16.03,1.59,25.66,1.58,43.52,3.25,16.08,3.12
