GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Less than 10.0 percent,Margin of Error; Total: - Less than 10.0 percent,Estimate; Total: - 10.0 to 14.9 percent,Margin of Error; Total: - 10.0 to 14.9 percent,Estimate; Total: - 15.0 to 19.9 percent,Margin of Error; Total: - 15.0 to 19.9 percent,Estimate; Total: - 20.0 to 24.9 percent,Margin of Error; Total: - 20.0 to 24.9 percent,Estimate; Total: - 25.0 to 29.9 percent,Margin of Error; Total: - 25.0 to 29.9 percent,Estimate; Total: - 30.0 to 34.9 percent,Margin of Error; Total: - 30.0 to 34.9 percent,Estimate; Total: - 35.0 to 39.9 percent,Margin of Error; Total: - 35.0 to 39.9 percent,Estimate; Total: - 40.0 to 49.9 percent,Margin of Error; Total: - 40.0 to 49.9 percent,Estimate; Total: - 50.0 percent or more,Margin of Error; Total: - 50.0 percent or more,Estimate; Total: - Not computed,Margin of Error; Total: - Not computed
1400000US48453002423,48453002423,"Census Tract 24.23, Travis County, Texas",843,197,0,18,29,50,55,68,129,139,219,136,32,40,33,34,167,132,179,107,0,18
1400000US48453002424,48453002424,"Census Tract 24.24, Travis County, Texas",701,124,9,15,42,42,67,54,51,41,92,60,64,38,80,63,89,58,164,76,43,36
1400000US48453002425,48453002425,"Census Tract 24.25, Travis County, Texas",357,91,0,13,16,21,54,36,142,65,44,29,17,24,16,25,32,46,36,32,0,13
1400000US48453002426,48453002426,"Census Tract 24.26, Travis County, Texas",720,273,0,20,117,136,83,102,205,128,90,125,0,20,109,93,91,114,0,20,25,42
1400000US48453002427,48453002427,"Census Tract 24.27, Travis County, Texas",1137,180,0,18,48,62,122,92,249,143,91,78,124,80,31,41,50,50,343,157,79,80
1400000US48453002428,48453002428,"Census Tract 24.28, Travis County, Texas",1208,192,12,21,131,121,315,141,207,106,33,39,103,73,72,64,31,34,304,159,0,18
1400000US48453002429,48453002429,"Census Tract 24.29, Travis County, Texas",571,75,27,23,57,39,109,56,118,43,68,45,8,14,58,43,18,29,108,62,0,13
1400000US48453002430,48453002430,"Census Tract 24.30, Travis County, Texas",211,86,27,33,35,34,11,18,18,20,50,55,35,43,0,13,0,13,35,39,0,13
1400000US48453002431,48453002431,"Census Tract 24.31, Travis County, Texas",705,191,0,18,39,60,28,45,238,145,68,56,70,75,0,18,79,76,123,110,60,56
1400000US48453002432,48453002432,"Census Tract 24.32, Travis County, Texas",147,51,16,18,1,3,10,14,0,13,11,14,0,13,18,17,15,25,63,43,13,14
1400000US48453002433,48453002433,"Census Tract 24.33, Travis County, Texas",417,150,40,57,19,23,16,26,19,22,33,38,14,16,0,18,37,43,198,111,41,44
1400000US48453002434,48453002434,"Census Tract 24.34, Travis County, Texas",177,43,0,13,9,10,1,2,21,22,41,28,16,14,1,2,22,22,39,28,27,18
1400000US48453002435,48453002435,"Census Tract 24.35, Travis County, Texas",406,176,0,18,0,18,0,18,59,66,136,106,13,24,54,86,0,18,144,113,0,18
1400000US48453002436,48453002436,"Census Tract 24.36, Travis County, Texas",219,59,25,26,3,5,0,13,0,13,15,14,0,13,0,13,9,12,121,53,46,37
1400000US48453002500,48453002500,"Census Tract 25, Travis County, Texas",1674,198,75,63,243,130,366,134,174,96,209,125,80,80,50,40,67,44,410,140,0,18
1400000US48453980000,48453980000,"Census Tract 9800, Travis County, Texas",0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
